1;-;Alimoni
1;-;Car
2;-;Taliadau Car
2;-;Tanwydd
2;-;Cynnal a Chadw
1;-;Costau Banc
2;-;Llog wedi ei Dalu
2;-;Gosgau Gwasnaeth
1;-;Biliau
2;-;Teledu Lloeren/Cebl
2;-;Ffôn T?
2;-;Ffôn Symudol
2;-;Trydan
2;-;Sbwriel ac Ailgylchu
2;-;Clwb Iechyd
2;-;Taliadau Perchennog Tai
2;-;Costau Aelodaeth
2;-;Taliadau Morgais
2;-;Olew/Nwy
2;-;Papur Newydd
2;-;Gwasanaeth Rhyngrwyd
2;-;Taliad Benthyciad arall
2;-;Rhent
2;-;Taliadau Benthyciad Myfyriwr
2;-;Ffôn
2;-;D?r a Charffosiaeth
1;-;Tynnu Arian
1;-;Rhoddion Elusennol
1;-;Gofal Plant
1;-;Plant/Tegannau
2;-;Cefnogaeth i Blant
2;-;Gofal Dydd Plant
1;-;Dillad
1;-;Taliadau/Trosglwyddiadau Cardiau Credyd
1;-;Bwyta Allan
1;-;Addysg
2;-;Llyfrau
2;-;Fees
2;-;Dysgu Preifat
1;-;Adloniant
1;-;Ffi
1;-;Bwyd
1;-;Rhoddion
1;-;Siopa Bwyd
1;-;Gofal Iechyd
2;-;Deintyddol
2;-;Gofal Llygaid
2;-;Ysbyty
2;-;Meddyg
2;-;Presgriptiynau
1;-;Hobïau/Hamdden
2;-;Llyfrau a Chylchgronnau
2;-;Digwyddiadau Diwylliannol
2;-;Diddanu
2;-;Rhentu Ffilmiau a Fideo
2;-;Digwyddiadau Chwaraeon
2;-;Nwyddau Chwaraeon
2;-;Tapiau a CDs
2;-;Tegannau a Gemau
1;-;Gwellainnau i’r T?
1;-;Cartref
2;-;Dodrefn
2;-;Glanhau’r T?
2;-;Gwasanaetau i’r Ardd
1;-;Yswiriant
2;-;Car
2;-;Iechyd
2;-;Perchennog/Rhentu
2;-;Bywyd
1;-;Costau Swydd
2;-;Dim Ad-daliad
2;-;Ad-daliad
1;-;Benthyciad
2;-;Llog Benthyciad
2;-;Llog Morgais Interest
2;-;Llog Benthyciad Myfyriwr
1;-;Amrywiol
1;-;Morgais/Rhent
1;-;Personal Care
1;-;Gofal Anifeiliaid
2;-;Bwyd
2;-;Newyddau
2;-;Fet
1;-;Ffôn/Diwifr
1;-;Gwasanaethau/Aelodaeth
1;-;Trethi
2;-;Treth Incwm
2;-;Treth Incwm - Llynedd
2;-;Treth Lleol
2;-;Treth Iechyd
2;-;Trethi Eraill
2;-;Treth T?
2;-;Trethi Gwerthu
2;-;Treth Diogelwch Iechyd
2;-;Treth Incwm Taleithiol
2;-;Taleithiol/Ardal
1;-;Teithio/Gwyliau
2;-;Llety
2;-;Teithio
1;-;Gwasanaethau
1;+;Incwm/Llog
1;+;Incwm Buddsoddiadau
2;+;Enillion Cyfalaf
2;+;Difidendau
2;+;Llog
2;+;Llog Didreth
1;+;Nnid Cost
1;+;Incwm Arall
2;+;Arian Plant Wedi ei Dderbyn
2;+;Dewis Stoc Cyflogedig
2;+;Rhoddion wedi eu Derbyn
2;+;Bethyciad Wedi ei Dderbyn
2;+;Loteri
2;+;Ad-daliad Treth
2;+;AD-daliad Diweithdra
1;+;Incwm Ymddeoliad
2;+;Dosbarthiad IRA
2;+;Pensiwn a Blwydd Daliadau
2;+;Budd-daliadau
1;+;Cyflog
2;+;Bonws
2;+;Commisiwn
2;+;Tâl Cyfartal Cyflogwr
2;+;Cyflog Gros
2;+;Cyflog Net
2;+;Goramser

