1;-;Автомобили и мотоциклы
2;-;Выплаты по кредиту
2;-;Принадлежности
2;-;Стоянка и дорожный налог
2;-;Страхование
2;-;Техническое обслуживание
2;-;Топливо
1;-;Банковские расходы
2;-;Банковские начисления
2;-;Банковское обслуживание
2;-;Выплаченные проценты
2;-;Платежи по картам и кредитам
2;-;Различные расходы
1;-;Бытовые принадлежности
2;-;Мебель
2;-;Работы и инструменты
2;-;Электроприборы
1;-;Дети
2;-;Выплаты по кредиту на обучение
2;-;Детский сад и услуги няни
2;-;Оплата обучения
2;-;Питание в столовой
2;-;Различные расходы
2;-;Спортивная и культурная деятельность
2;-;Страхование
1;-;Домашние животные
2;-;Ветеринарные услуги
2;-;Корма
2;-;Различные расходы
1;-;Здоровье
2;-;Больница
2;-;Врачебные услуги
2;-;Добровольное медицинское страхование
2;-;Лекарства
2;-;Массаж
2;-;Офтальмология
2;-;Стоматология
1;-;Личная гигиена
2;-;Парикмахерская и косметология
2;-;Фитнесс и SPA
1;-;Налоги и сборы
2;-;Другие налоги
2;-;Местные налоги
2;-;Налог на имущество
2;-;Подоходный налог
2;-;Подоходный налог за прошлый год
2;-;Социальное страхование
1;-;Одежда
2;-;Аксессуары
2;-;Обувь
2;-;Спецодежда и обмундирование
1;-;Отдых, культура и спорт
2;-;Видеопрокат
2;-;Газеты и журналы
2;-;Игры
2;-;Кино и театр
2;-;Книги
2;-;Музеи и выставки
2;-;Покупка CD и DVD
2;-;Спортивная деятельность
2;-;Спортивные мероприятия
2;-;Спортивные товары
1;-;Отпуск и путешествия
2;-;Жильё
2;-;Питание
2;-;Проезд
2;-;Прокат автомобиля
2;-;Различные расходы
2;-;Страхование
2;-;Экскурсии
1;-;Питание
2;-;Бакалейные товары
2;-;Кафе и бары
2;-;Рестораны
1;-;Подписки и счета
2;-;Арендная плата
2;-;Водоснабжение
2;-;Выплаты по ипотечному кредиту
2;-;Выплаты по потребительскому кредиту
2;-;Домашнее хозяйство
2;-;Интернет
2;-;Кабельное и спутниковое телевидение
2;-;Мобильная связь
2;-;Отопление
2;-;Страхование жилья
2;-;Текущий ремонт
2;-;Телефон
2;-;Эксплуатационные затраты
2;-;Электричество
1;-;Разное
2;-;Благотворительные пожертвования
2;-;Гражданская ответственность
2;-;Подарки
2;-;Снятие наличных
1;-;Сбережения
2;-;Вклады и прочее
2;-;Страхование жизни
1;-;Служебные расходы
2;-;Возмещаемые
2;-;Невозмещаемые
1;-;Транспорт
2;-;Метро, автобусы
2;-;Поезда
2;-;Самолёты
2;-;Такси
1;+;Другие доходы
2;+;Выигрыши
2;+;Налоговый кредит
2;+;Наследство
2;+;Опцион на акции
2;+;Полученные подарки
2;+;Пособие по безработице
2;+;Производственная травма
2;+;Семейное пособие
2;+;Ссудный капитал
1;+;Жалование и заработная плата
2;+;Выплаты работодателя
2;+;Комиссионное вознаграждение
2;+;Начисленная сумма
2;+;Плата за сверхурочную работу
2;+;Различные надбавки
2;+;Сумма к выплате
1;+;Инвестиции
2;+;Дивиденды
2;+;Доход от сдачи жилья в аренду
2;+;Повышение стоимости недвижимости
2;+;Прирост капитала
2;+;Проценты
1;+;Пенсия
2;+;Дополнительные выплаты
2;+;Пенсия по возрасту
2;+;Социальные пособия
