1;-;Alimenty
1;-;Automobil
2;-;Náklady na auto
2;-;Benzín
2;-;Údržba
1;-;Bankové poplatky
2;-;Splátky úroku
2;-;Poplatky za služby
1;-;Účty
2;-;Káblová/satelitná televízia
2;-;Mobil
2;-;Elektrina
2;-;Odpad & recyklácia
2;-;Klub zdravia
2;-;Poplatky majiteľovi domu
2;-;Členské poplatky
2;-;Splátka hypotéky
2;-;Olej/benzín natural
2;-;Noviny
2;-;Internet
2;-;Splátka inej pôžičky
2;-;Nájomné
2;-;Splátka študentskej pôžičky
2;-;Telefón
2;-;Vodné a stočné
1;-;Výber hotovosti
1;-;Príspevok na charitu
1;-;Starostlivosť o dieťa
1;-;Deti/hračky
2;-;Vreckové pre deti
2;-;Detské jasle
1;-;Oblečenie
1;-;Platby kreditnou kartou/Transfery
1;-;Reštaurácia/bar
1;-;Vzdelanie
2;-;Knihy
2;-;Poplatky
2;-;Školné
1;-;Zábava
1;-;Poplatky
1;-;Jedlo
1;-;Dary
1;-;Potraviny
1;-;Starostlivosť o zdravie
2;-;Zubár
2;-;Očný lekár
2;-;Nemocnica
2;-;Lekár
2;-;Lieky na predpis
1;-;Hobby/voľný čas
2;-;Knihy a časopisy
2;-;Kultúrne podujatia
2;-;Zabávanie
2;-;Požičovňa videí
2;-;Športové podujaria
2;-;Športové potreby
2;-;Pásky & disky CD
2;-;Hračky & hry
1;-;Domáci majster
1;-;Domácnosť
2;-;Nábytok
2;-;Čistiace prostriedky
2;-;Starostlivosť o záhradu/predzáhradku
1;-;Poistenie
2;-;Automobil
2;-;Životné
2;-;Nehnuteľnosti
2;-;Úrazové
1;-;Pracovné náklady
2;-;Bez refundácie
2;-;S refundáciou
1;-;Pôžička
2;-;Úrok pôžičky
2;-;Úrok hypotéky
2;-;Úrok študentskej pôžičky
1;-;Rozličné
1;-;Hypotéka/nájomné
1;-;Osobná hygiena
1;-;Starostlivosť o zviera
2;-;Jedlo
2;-;Hračky
2;-;Veterinár
1;-;Telefón/Bezdrátový
1;-;Služby/členské
1;-;Dane
2;-;Daň z príjmu
2;-;Daň z príjmu - predchádzajúci rok
2;-;Iné dane
2;-;Daň z nehnuteľnosti
2;-;Miestna daň
1;-;Cestovanie/dovolenka
2;-;Ubytovanie
2;-;Cestovanie
1;-;Pomôcky
1;+;Príjem/Úrok
1;+;Príjem z investície
2;+;Zisky z kapitálu
2;+;Dividendy
2;+;Úrok
2;+;Úrok nepodliehajúci zdaneniu
1;+;Nie výdavok
1;+;Iný príjem
2;+;Prijatá podpora na dieťa
2;+;Zamestnanecká akciová opcia
2;+;Prijaté dary
2;+;Prijatá istina
2;+;Lotéria
2;+;Vrátanie dane
2;+;Podpora v nezamestnanosti
1;+;Prijatý dôchodok
2;+;Mimoriadna odmena za služby
1;+;Plat & mzda
2;+;Bonus
2;+;Provízia
2;+;Hrubá mzda
2;+;Čistý príjem
2;+;Nadčas
2;+;Odstupné
